name,pitcher_hr9,flyball_rate,hr_allowed_vs_R,hr_allowed_vs_L,flyball_vs_R,flyball_vs_L,p_throws
Reynaldo Lopez,0.3495,0.2778,0.0755,0.0,0.4,0.125,R
Luis Gil,0.878,0.2857,0.1304,0.0556,0.3529,0.1818,R
Nestor Cortes,1.0,0.35,0.0,0.0,0.35,0.35,L
Carlos Rodon,1.0,0.35,0.0,0.0,0.35,0.35,L
Clarke Schmidt,1.0,0.35,0.0,0.0,0.35,0.35,R
Mason Miller,0.0,0.2222,0.0,0.0,0.3333,0.1667,R
JP Sears,1.0,0.35,0.0,0.0,0.35,0.35,L
Paul Blackburn,0.0,0.2258,0.0,0.0,0.1333,0.3125,R
Bailey Falter,0.45,0.2857,0.0714,0.0,0.3333,0.2,L
Martín Pérez,0.1139,0.2459,0.0175,0.0,0.2326,0.2778,L
Trevor Rogers,0.2213,0.2159,0.0306,0.0,0.2432,0.0714,L
Edward Cabrera,1.0,0.35,0.0,0.0,0.35,0.35,R
Cal Quantrill,0.0,0.1,0.0,0.0,0.0,0.1429,R
Austin Gomber,1.0,0.35,0.0,0.0,0.35,0.35,L
Kyle Freeland,0.1343,0.2174,0.0182,0.0,0.1842,0.375,L
Jose Urena,1.0,0.35,0.0,0.0,0.35,0.35,R
Andrew Painter,0.1125,0.2182,0.0,0.0196,0.2,0.2286,R
Ryan Weiss,0.5,0.2727,0.0938,0.025,0.3,0.25,R
Parker Messick,0.0789,0.1467,0.013,0.0,0.1373,0.1667,L
Chase Burns,0.3364,0.3188,0.0208,0.0508,0.3939,0.25,R
Steven Matz,0.1748,0.2571,0.0299,0.0,0.3023,0.1852,L
Dustin May,0.2143,0.2063,0.0,0.0357,0.15,0.2326,R
Chris Paddack,0.4138,0.3016,0.0789,0.0204,0.3333,0.2778,R
Keider Montero,0.0,0.3043,0.0,0.0,0.3,0.3077,R
Connelly Early,0.1071,0.3269,0.0145,0.0,0.35,0.25,L
Landen Roupp,0.0,0.1404,0.0,0.0,0.1613,0.1154,R
Jacob Lopez,0.3,0.3509,0.029,0.0476,0.3864,0.2308,L
Jack Kochanowicz,0.0833,0.2394,0.0185,0.0,0.2105,0.2727,R
Patrick Corbin,0.439,0.2857,0.0625,0.0,0.32,0.0,L
Foster Griffin,0.3103,0.3667,0.0345,0.0345,0.3333,0.4444,L
Simeon Woods Richardson,0.3913,0.2297,0.0417,0.0455,0.1951,0.2727,R
Nolan McLean,0.1011,0.2115,0.0,0.0179,0.1579,0.2424,R
Shane Baz,0.1565,0.2469,0.027,0.0128,0.3462,0.2,R
Kris Bubic,0.2022,0.3962,0.0143,0.0526,0.3415,0.5833,L
Carmen Mlodzinski,0.0,0.1379,0.0,0.0,0.0833,0.1765,R
Kumar Rocker,0.2687,0.2222,0.0,0.0541,0.0909,0.3478,R
Randy Vásquez,0.1,0.25,0.0294,0.0,0.3333,0.1875,R
Sean Burke,0.2547,0.28,0.0455,0.0161,0.2069,0.3261,R
Bryce Elder,0.1525,0.2564,0.0,0.0247,0.1923,0.2885,R
Michael Wacha,0.225,0.3625,0.0,0.039,0.3704,0.3585,R
Michael Soroka,0.3103,0.3099,0.0192,0.0469,0.2812,0.3333,R
Gavin Willaims,0.3358,0.2838,0.0328,0.0411,0.1429,0.4103,R
