player_hr_rate,barrel_rate,recent_hr_rate,recent_barrel_rate,player_hr_rate_split,barrel_rate_split,recent_hr_rate_split,recent_barrel_rate_split,power_index,pitcher_hr9,flyball_rate,power_vs_pitcher,bad_pitcher,weak_hitter,very_weak_hitter,strong_hitter,split_confidence,matchup,park_factor,home_run
0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.07285714285714286,0.5,0.04003316596833088,0.03642857142857143,0,0,0,0,1,1,0.95,0
0.125,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.06375,0.5,0.030606121878500397,0.031875,0,0,0,0,1,1,0.95,0
0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.05666666666666667,0.5,0.05127579257987103,0.028333333333333335,0,1,0,0,1,1,0.96,0
0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.05100000000000001,0.5,0.045168886345059236,0.025500000000000005,0,1,0,0,1,1,0.96,0
0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.1,0.0,0.04663636363636364,0.5,0.08957683248124423,0.02331818181818182,0,1,0,0,1,1,0.96,0
0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.039999999999999994,0.5,0.03825626998901054,0.019999999999999997,0,1,0,0,1,1,0.96,0
0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.036923076923076927,0.5,0.08356341724121934,0.018461538461538463,0,1,1,0,1,1,0.95,0
0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.03428571428571429,0.5,0.05713164438169267,0.017142857142857144,0,1,1,0,1,1,0.95,0
0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.032,0.5,0.04334972251545203,0.016,0,1,1,0,1,1,0.95,0
0.058823529411764705,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.028602941176470588,0.5,0.018474721263832573,0.014301470588235294,0,1,1,0,1,1,0.95,0
0.05555555555555555,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.026993464052287582,0.5,0.03591959972394755,0.013496732026143791,0,1,1,0,1,1,0.97,0
0.05263157894736842,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.025555555555555557,0.5,0.03929835131952982,0.012777777777777779,0,1,1,0,1,1,0.97,0
0.05,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.024263157894736844,0.5,0.02678007178007178,0.012131578947368422,0,1,1,0,1,1,0.97,0
0.047619047619047616,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.023095238095238096,0.5,0.05698910143354588,0.011547619047619048,0,1,1,0,1,1,1.08,0
0.045454545454545456,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.022034632034632035,0.5,0.04232147350696402,0.011017316017316018,0,1,1,0,1,1,1.08,0
0.043478260869565216,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.02106719367588933,0.5,0.0438825147220219,0.010533596837944664,0,1,1,0,1,1,0.95,0
0.041666666666666664,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.020181159420289852,0.5,0.057083421649103835,0.010090579710144926,0,1,1,0,1,1,0.95,0
0.04,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.019366666666666667,0.5,0.047417840375586856,0.009683333333333334,0,1,1,0,1,1,0.95,0
0.038461538461538464,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.018615384615384617,0.5,0.048201541193516426,0.009307692307692308,0,1,1,0,1,1,0.95,0
0.037037037037037035,0.008695652173913044,0.0,0.02,0.038461538461538464,0.009090909090909092,0.0,0.02,0.02296607772259946,0.5,0.0176068966510143,0.01148303886129973,0,1,1,0,1,1,0.95,0
0.03571428571428571,0.008333333333333333,0.0,0.02,0.037037037037037035,0.008695652173913044,0.0,0.02,0.022243248217161258,0.5,0.07854688413128805,0.011121624108580629,0,1,1,0,1,1,1.05,0
0.034482758620689655,0.008,0.0,0.02,0.03571428571428571,0.008333333333333333,0.0,0.02,0.02157154351395731,0.5,0.04111078499505609,0.010785771756978655,0,1,1,0,1,1,1.05,0
0.03333333333333333,0.007692307692307693,0.0,0.02,0.034482758620689655,0.008,0.0,0.02,0.020945711759504868,0.5,0.03897963493299416,0.010472855879752434,0,1,1,0,1,1,1.05,0
0.03225806451612903,0.007407407407407408,0.0,0.02,0.03333333333333333,0.007692307692307693,0.0,0.02,0.020361198419262937,0.5,0.055133111272556365,0.010180599209631469,0,1,1,0,1,1,1.04,1
0.0625,0.011607142857142858,0.2,0.0325,0.06451612903225806,0.012037037037037037,0.1,0.0325,0.06486060761222051,0.5,0.052289815447710185,0.032430303806110256,0,1,1,0,1,1,1.04,0
0.06060606060606061,0.011206896551724138,0.2,0.0325,0.0625,0.011607142857142858,0.1,0.0325,0.06385376362143604,0.5,0.07199298620358816,0.03192688181071802,0,1,1,0,1,1,0.95,0
0.058823529411764705,0.010833333333333334,0.2,0.0325,0.06060606060606061,0.011206896551724138,0.1,0.0325,0.06290722539799619,0.5,0.056666132130425484,0.031453612698998094,0,1,1,0,1,1,0.95,0
0.05714285714285714,0.010483870967741936,0.2,0.0325,0.058823529411764705,0.010833333333333334,0.1,0.0325,0.06201572467696756,0.5,0.04735062776390891,0.03100786233848378,0,1,1,0,1,1,0.95,0
0.05555555555555555,0.01015625,0.2,0.0325,0.05714285714285714,0.010483870967741936,0.1,0.0325,0.06117459037378393,0.5,0.05033129281205295,0.030587295186891964,0,1,1,0,1,1,0.95,0
0.05405405405405406,0.00984848484848485,0.0,0.0125,0.05555555555555555,0.01015625,0.1,0.0125,0.033179666171853674,0.5,0.039494886708509,0.016589833085926837,0,1,1,0,1,1,0.95,0
0.05263157894736842,0.009558823529411765,0.0,0.0125,0.05405405405405406,0.00984848484848485,0.1,0.0125,0.032427241412535536,0.5,0.046222268018765555,0.016213620706267768,0,1,1,0,1,1,0.95,0
0.05128205128205128,0.009285714285714286,0.0,0.0125,0.05263157894736842,0.009558823529411765,0.1,0.0125,0.0317139928441012,0.5,0.046418806568625334,0.0158569964220506,0,1,1,0,1,1,0.95,0
0.05,0.009027777777777779,0.0,0.0125,0.05128205128205128,0.009285714285714286,0.1,0.0125,0.031036935286935293,0.5,0.04875614140723846,0.015518467643467647,0,1,1,0,1,1,0.95,0
0.04878048780487805,0.008783783783783784,0.0,0.0125,0.05,0.009027777777777779,0.1,0.0125,0.03039337966014796,0.5,0.05358720010398058,0.01519668983007398,0,1,1,0,1,1,0.98,0
0.047619047619047616,0.008552631578947369,0.0,0.0,0.04878048780487805,0.008783783783783784,0.0,0.0,0.024780897117546666,0.5,0.05188741215516257,0.012390448558773333,0,1,1,0,1,1,0.98,1
0.06976744186046512,0.008333333333333333,0.2,0.0,0.07142857142857142,0.008552631578947369,0.1,0.0,0.06241544996211459,0.5,0.03851418027652321,0.031207724981057294,0,1,1,0,1,1,0.98,0
0.06666666666666667,0.007926829268292683,0.2,0.0,0.06818181818181818,0.008125,0.1,0.0,0.060826057834441984,0.5,0.047692874207227176,0.030413028917220992,0,1,1,0,1,1,1.02,0
